tere i amala jaka i golo be geli cooha ji mbi seme donji ci ,	nv cm nv nv cm nv cm nv nv verb e comp verb e mark
tokso de yabu cibe ,	nv cm verb e mark
juwe ihan ,	nv nv mark
tere ci ajigen_mergen ,	nv cm nn mark
sacikū golo i amban bi he ,	nv nv cm nv verb e mark
dailiyoo de olho me ,	nn cm verb e mark
muhaliyan i jui joohana ,	nv cm nv nn mark
han wa ra be naka ha se re ,	nv verb e cm verb e verb e mark
jase i dolo o cibe dain sabu ha de ,	nv cm nv verb e nv verb e cm mark
ulin gida hakū tondo amban sa de ,	nv verb e nv nv nv cm mark
han gosi me uji re de ,	nv verb e verb e cm mark
baisin irgen de gemu ba bu fi ,	nv nv cm nv nv verb e mark
sio_yan i siyoo_beiguwan orin jakūn de alanji ha .	nn cm nn nv nv cm verb e mark
fujisa be gama me gene mbi ,	nv cm verb e verb e mark
tuttu tondo i fafula rakū ehe miosihon jurgan i yabu ci ,	nv nv cm verb e nv nv nv cm verb e mark
janggin ,	nv mark
ya fudasihūn jurgan i yabu re niyalma be sa ha de ,	nv nv nv cm verb e nv cm verb e cm mark
cooha teni faida ki se re de ,	nv nv verb e verb e cm mark
○ jakūn biya i orin de ,	mark nv nv cm nv cm mark
borjin i beye ,	nn cm nv mark
jakūnjuta eje he bu he ,	nv verb e verb e mark
du_tang de juwe biya i ice duin de wasimbu ha ,	nv cm nv nv cm nv nv cm verb e mark
bojiri goro ba ci yalu fi ji he morin šada ha dere ,	nn nv nv cm verb e verb e nv verb e ptcl mark
juwe simhun gabtabu ha seme ,	nv nv verb e comp mark
bi hendu ci ete rakū ,	pn verb e verb e mark
han hendu me ,	nv verb e mark
emu ciyandzung de duin niyalma ,	nv nv cm nv nv mark
ice nadan de aita fujiyang de unggi he bithe ,	nv nv cm nn nv cm verb e nv mark
fusi_efu i juse be ,	nn cm nv cm mark
bejang_guwan_tun_gašan i niyalma suwe ,	nn cm nv pn mark
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb e nv cm verb e comp nv verb e mark
han sadun de akda ha bi he ,	nv nv cm verb e verb e mark
boo usin be goi ha ba i niyalma de bu ∅ .	nv nv cm verb e nv cm nv cm verb e mark
gemu gama ∅ seme suwen i elcin de hendu he se re ,	nv verb e comp pn cm nv cm verb e verb e mark
batuhan ,	nn mark
afabu ha jurgan be kice ki .	verb e nv cm verb e mark
fujiyang ,	nv mark
fu_jeo i ba i niyalma be ubaša me gene mbi seme donji fi cooha ji he ,	nn cm nv cm nv cm verb e verb e comp verb e nv verb e mark
te ere aniya cuwan_ceng ni niyalma ,	nv nv nv nn cm nv mark
ere ci julesi hūlha holo koimali jalingga akū ,	nv cm nv nv nv nv nv nv mark
tere ci towakui_angga de dedu he .	nv cm nn cm verb e mark
durhu ,	nn mark
○ orin ilan de ,	mark nv nv cm mark
tere ci funce he uksin i niyalma ,	nv cm verb e nv cm nv mark
geren amban sa be amala niyakūrabu fi hendu me ,	nv nv nv cm nv verb e verb e mark
han i fafun i tondo i kadala mbi ,	nv cm nv cm nv cm verb e mark
ere dule min i boo i aika jaka be wacihiya ha nikai seme jili banji fi ,	nv nv pn cm nv cm nv nv cm verb e ptcl comp nv verb e mark
ulin aci ha morin ,	nv verb e nv mark
yamun de dosi fi te fi amba sarin sarila ha .	nv cm verb e verb e nv nv verb e mark
weihu saci re emu niru i ilata niyalma be unggi ∅ ,	nv verb e nv nv cm nv nv cm verb e mark
dandari ,	nn mark
juse hehe ulha be gai habi ,	nv nv nv cm verb e mark
tere ici ergi ilan tumen gurun sin de dalji akū ,	nv nv nv nv nv nv pn cm nv nv mark
okdo me tuci fi daha ci ,	verb e verb e verb e mark
cihakū o ci bi ∅ ,	nv verb e verb e mark
dungsan janggin ,	nn nv mark
jete re jeku ,	verb e nv mark
neodei be ,	nn cm mark
in i emgi daya fi bi he emu udu boigon be gai fi ,	pn cm nv verb e verb e nv nv nv cm verb e mark
buya niyalma ,	nv nv mark
fujin i somi me bene he ulin be hūlha me takūra fi gaji re be han sa hakū bi he ,	nv cm verb e verb e nv cm verb e verb e verb e cm nv verb e verb e mark
jaisa ,	nn mark
ša_ling de bonio erin de isina fi šurde me ka fi dedu he ,	nn cm nv nv cm verb e verb e verb e verb e mark
○ ice nadan i yamji ,	mark nv nv cm nv mark
nikan ,	nv mark
gu_šan ci tung_yuwan_pu i baru ice jase tondolo me ilibu me gene he .	nn cm nn cm nv nv nv verb e verb e verb e mark
tung_can_gung ,	nn mark
gurun i baita ambula ,	nv cm nv nv mark
emu feye gidalabu ha seme juwan emu yan i weile waliya mbi ,	nv nv verb e comp nv nv nv cm nv verb e mark
sin i ba de nikan i emu gašan bi seme hendu hebi ,	pn cm nv cm nv cm nv nv verb comp verb e mark
baha ha jaka be ilan ubu sinda fi ,	verb e nv cm nv nv verb e mark
dobori o ci ,	nv verb e mark
alban i niyalma o fi ,	nv cm nv verb e mark
jui tai_cang sira me han te fi ,	nv nn verb e nv verb e mark
indahūci janggin ,	nn nv mark
jušen i boo de dosi ka niyalma be ,	nv cm nv cm verb e nv cm mark
acan emu ihan ,	nv nv nv mark
dosi fi tuci re be ume amca ra ,	verb e verb e cm nv verb e mark
jai ši_fujiyang ,	nv nn mark
muduri erin de jakūn hošonggo ordo de tuci fi te he manggi ,	nv nv cm nv nv nv cm verb e verb e nv mark
gurbusi ,	nn mark
ošan ,	nn mark
han i tere hecen weile re de ,	nv cm nv nv verb e cm mark
juwe morin be cooha i niyalma yalu kini seme amasi bederebu he ,	nv nv cm nv cm nv verb e comp nv verb e mark
weile be deribu re ngge niyalma ,	nv cm verb e nmlz nv mark
geren dangse bithe i emgi ainu asara mbi ,	nv nv nv cm nv nv verb e mark
amaga inenggi suwe gūwaliya fi weile ara ci ,	nv nv pn verb e nv verb e mark
in i fe asarabu ha bele ufa tubihe be gaji ∅ seme ji hebi ,	pn cm nv verb e nv nv nv cm verb e comp verb e mark
sonom_taiji i sargan i non be jafa ha be sinda ∅ ,	nn cm nv cm nv cm verb e cm verb e mark
geren cooha i beile se gemu hendu me ,	nv nv cm nv nv nv verb e mark
ere nadan niyalma ,	nv nv nv mark
songgotu be gemu jafa ha bi he ,	nv cm nv verb e verb e mark
jai susai boso be piyoo_gui_ing ni emgi ji he niyalma de etu ∅ seme ce bu hebi ,	nv nv nv cm nn cm nv verb e nv cm verb e comp pn verb e mark
olji hehe juwan uyun ,	nv nv nv nv mark
tere ci han amasi bedere fi ,	nv cm nv nv verb e mark
lii_g'o gebungge niyalma ,	nn nv nv mark
han i bithe ,	nv cm nv mark
šancin i niyalma de nikan bithe ara fi kemuni bu ∅ ,	nv cm nv cm nv nv verb e nv verb e mark
jai ai ai weile de baitala ci ojo ro sain niyalma bi ci ,	nv nv nv nv cm verb e verb e nv nv verb e mark
tafula ra amban i gisun be gaija rakū ci ,	verb e nv cm nv cm verb e e mark
cing_ho ,	nn mark
tere ci sure_kundulen_han suwayan sara tukiye fi ,	nv cm nn nv nv verb e mark
ihan juwe tanggū ,	nv nv nv mark
tondo i kice me hūsun bu ki ,	nv cm verb e nv verb e mark
○ ice juwe de ,	mark nv nv cm mark
jai dehi ninggun niyalma uka me gene re gisun be lasha sarkū se mbi ,	nv nv nv nv verb e verb e nv cm nv nv verb e mark
wan ara ra moo saci re be geren be ulhi rahū seme ,	nv verb e nv verb e cm nv cm verb e comp mark
ula_bira i ebergi cikin be amasi bedere me jide re de ,	nn cm nv nv cm nv verb e verb e cm mark
fonji ha gisun icakū o fi ,	verb e nv nv verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
mujakū nikan be jafa fi ,	nv nv cm verb e mark
baigal_taiji gene he .	nn verb e mark
morin i dosi ci ojo rakū o fi ,	nv cm verb e verb e verb e mark
min de šang ambula gaji ∅ seme ududu jergi abka de gashū ha be abka wakala fi ,	pn cm nv nv verb e comp nv nv nv cm verb e cm nv verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
sonom_taiji sin i beye akdun akū o mbi kai ,	nn pn cm nv nv nv verb e ptcl mark
ara ra niyalma akū o ci ,	verb e nv nv verb e mark
han i beye gene fi kundule me sarila ha ngge ,	nv cm nv verb e verb e verb e nmlz mark
ooba de gene he arajai i gaji ha bithe i gisun ,	nn cm verb e nn cm verb e nv cm nv mark
hafan i beye de tuhe re weile ,	nv cm nv cm verb e nv mark
muse i cooha i niyalma gemu musi omi ∅ ,	nv cm nv cm nv nv nv verb e mark
men be taka ara fi ,	pn cm nv verb e mark
muse juwe gurun de gemu bata kimun bi he ,	pn nv nv cm nv nv nv verb e mark
ehe sain be dere bani rakū ,	nv nv cm nv verb e mark
emu minggan juwe minggan cooha o ci ,	nv nv nv nv nv verb e mark
sunja yan i weile waliya mbi ,	nv nv cm nv verb e mark
wan_lii i orin nadaci aniya juwe biya i ice uyun de baha ha ,	nn cm nv nv nv nv nv cm nv nv cm verb e mark
han i etu he seke i siji ha jibca bu he .	nv cm verb e nv cm verb e nv verb e mark
si_uli efu be ,	nn nv cm mark
han i fafun i tondo i kadala mbi ,	nv cm nv cm nv cm verb e mark
juwe han inu men i aisin han de jafabu fi ,	nv nv nv pn cm nv nv cm verb e mark
sure_kundulen_han hendu me ,	nn verb e mark
juwan emu yan i weile waliya mbi ,	nv nv nv cm nv verb e mark
burgi fujiyang ,	nn nv mark
šang nonggi me bu hekū ,	nv verb e verb e mark
beile se hecen i duka be tuci me ,	nv nv nv cm nv cm verb e mark
sin i nikan i wan_lii_han deribu he kai ,	pn cm nv cm nn verb e ptcl mark
hoifa i baindari_beile ,	nn cm nn mark
hai_si uje_šan_wei i du_jy_hūi_tungjy senggu i omolo ulusuga ,	nn nn cm nv nn cm nv nn mark
tabai_age baha ra unde seme fonji re jaka de ,	nn verb e nv comp verb e nv cm mark
uyun yan i weile waliya mbi ,	nv nv cm nv verb e mark
yehe i gintaisi ,	nv cm nn mark
bandi i elcin ,	nv cm nv mark
buya niyalma gercile me alanji mbi ,	nv nv verb e verb e mark
darja_age i emu niyalma be ,	nn cm nv nv cm mark
gemu jafa fi bu ∅ .	nv verb e verb e mark
○ jakūn gūsa i dube jecen be bargiya ra dangse ,	mark nv nv cm nv nv cm verb e nv mark
jai jergi beiguwan bu he ,	nv nv nv verb e mark
šan de icakū ,	nv cm nv mark
duwan_cing_be ,	nn mark
fakca rakū ci ,	verb e e mark
yarbu i niru kadala ra be nakabu fi murtai be kadala ∅ seme guribu he ,	nn cm nv verb e cm verb e nv cm verb e comp verb e mark
hashū ergi dzung_bing_guwan hergen i eidu_baturu akū o ho ,	nv nv nv nv cm nn nv verb e mark
emu jergi gaija ra weile be waliya mbi .	nv nv verb e nv cm verb e mark
bira i muke nonggi hakūbi ,	nv cm nv verb e mark
cing_ho i niyalma ,	nn cm nv mark
cooha i niyalma uheri sunja tanggū funce me baha fi wa ha ,	nv cm nv nv nv nv verb e verb e verb e mark
tere abka ka abka ,	nv verb e nv mark
šumboi ,	nn mark
han be ,	nv cm mark
hojokon be ,	nn cm mark
jai geren cooha i niyalma de sunjata jiha menggun šangna ha .	nv nv nv cm nv cm nv nv nv verb e mark
jakūn beile se i ubu i juwan ninggute ihan ,	nv nv nv cm nv cm nv nv nv mark
gene he ba de bai me niyalma gene kini ,	verb e nv cm verb e nv verb e mark
in i sargan jui de banji ha omolo de suje etuku hūlha fi unggi re be ,	pn cm nv nv cm verb e nv cm nv nv verb e verb e cm mark
emu honin wa fi sarila ha .	nv nv verb e verb e mark
solho sin be bibu rakū ,	nv pn cm verb e mark
genggiyen_han de tuktan hengkile me ji he doro i seme ,	nn cm nv verb e verb e nv cm comp mark
cooliyan janggin de duite yan sunjata jiha i weile waliya mbi ,	nn nv cm nv nv nv nv cm nv verb e mark
○ guwangning ni xi_san_šan i alin i ninggu de emu niru i emte niyalma ,	mark nn cm nn cm nv cm nv cm nv nv cm nv nv mark
tere tai fejile ili ha cooha i ejete beile se amban sa hendu me ,	nv nv nv verb e nv cm nv nv nv nv nv verb e mark
orin yan de niru re okto uda ∅ ,	nv nv cm verb e nv verb e mark
konggor_beile i jui mujai_taiji in i non be han de benji me ji mbi seme ,	nn cm nv nn pn cm nv cm nv cm verb e verb e comp mark
bi te usin be tolo fi ,	pn nv nv cm verb e mark
gisure he gisun be efule me taiji sa i beye yabu re be naka ha .	verb e nv cm verb e nv nv cm nv verb e cm verb e mark
mina ,	nn mark
nikan i sonjo ho juwe ing ni cooha be gemu wa ha ,	nv cm verb e nv nv cm nv cm nv verb e mark
damin ,	nv mark
simiyan i niyalma hiyabun dabu re erin de uthai sa ha ,	nn cm nv nv verb e nv cm nv verb e mark
waka uru be dacila rakū ,	nv nv cm verb e mark
han i bethe i fejile niyakūra fi buhi be tebeliye he ,	nv cm nv cm nv verb e nv cm verb e mark
sin i beye de ali fi kadala me ,	pn cm nv cm verb e verb e mark
manggūltai_beile i sadun ,	nn cm nv mark
ajige mocin juwan ,	nv nv nv mark
ujei ,	nn mark
inu beye i jaka de sinda fi dedu ∅ ,	nv nv cm nv cm verb e verb e mark
urgunje me gai ha niyalma de jai geli neme me bu mbi ,	verb e verb e nv cm nv nv verb e verb e mark
tere inenggi abala me gene fi ,	nv nv verb e verb e mark
weihu ca ra de inu ca ha ,	nv verb e cm nv verb e mark
esitu ,	nn mark
uhereme emu tanggū ninggun niyalma wa ha ,	nv nv nv nv nv verb e mark
muse i jušen i cooha ume jide re ,	nv cm nv cm nv nv verb e mark
jorigai ,	nn mark
han de hanci takūrabu me ambula hūsun bu he niyalma bi he ,	nv cm nv verb e nv nv verb e nv verb e mark
bagadarhan i baru hendu me ,	nn cm nv verb e mark
monggo de bu he aha be ,	nv cm verb e nv cm mark
laba bileri fulgiye re baitangga niyalma hecen de bi kini ,	nv nv verb e nv nv nv cm verb e mark
○ niowanggiyan tasha aniya ,	mark nv nv nv mark
beile se i sira me monggo i enggeder_efu ,	nv nv cm verb e nv cm nn mark
te wesihun gurun ,	nv nv nv mark
dergi hoton i buyanggū ,	nv nv cm nn mark
morin ci ebu fi dulembu ∅ ,	nv cm verb e verb e mark
bojiri be beikuwen de etu kini seme ,	nn cm nv cm verb e comp mark
orin yan i weile ara ha .	nv nv cm nv verb e mark
sin jeku niru de ice baha ra sunja tanggū haha de dosimbu me gai ∅ ,	nv nv nv cm nv verb e nv nv nv cm verb e verb e mark
liyoha i dalin i si_ning_pu i šeo_pu lii_dzung_ciyan bi hoton i duka be feksi fi ,	nn cm nv cm nn cm nv nn pn nv cm nv cm verb e mark
barin i dureng_beile i deo gurbusi_taiji ,	nv cm nn cm nv nn mark
booi sunggani ,	nv nn mark
sain be sain ,	nv cm nv mark
niyalma wa ra jeku gama ra be sa fi ,	nv verb e nv verb e cm verb e mark
asina ,	nn mark
nikan cooha gemu tuhe me waji ha ,	nv nv nv verb e verb e mark
hatan i elcin ,	nv cm nv mark
barin i ubasi_taiji i elcin ,	nv cm nn cm nv mark
ilan tanggū cooha te mbi ,	nv nv nv verb e mark
babutai ,	nn mark
muse i cooha be mangga se mbi ,	nv cm nv cm nv verb e mark
amasi jeng_giyang deri bene he .	nv nn nv verb e mark
tese gemu arki nure hehe ulin de dosi fi ,	nv nv nv nv nv nv cm verb e mark
solho i elcin sunja niyalma ji mbi seme alanji ha manggi ,	nv cm nv nv nv verb e comp verb e nv mark
simiyan ,	nn mark
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb e nv cm verb e comp nv verb e mark
ninju ba i dube de an_šan i ba de isi tala wa ha ,	nv nv cm nv cm nn cm nv cm verb e verb e mark
fe ice anggala i ton ilan tanggū nadanju .	nv nv nv cm nv nv nv nv mark
wargi ci morin de ulin aci fi boo de gama ci ,	nv cm nv cm nv verb e nv cm verb e mark
dailiyoo i tiyan_dzo_han ,	nn cm nn mark
alin de niyalma ume bai re .	nv cm nv nv verb e mark
bolgo walgiya fi ,	nv verb e mark
bangnio janggin de uyute yan i weile waliya mbi ,	nn nv cm nv nv cm nv verb e mark
emu feye langtula bu ha seme ,	nv nv verb sfx e comp mark
cooha gida ha amban sa de gida ha medege be fonji fi ,	nv verb e nv nv cm verb e nv cm verb e mark
boo de umai mejige akū ,	nv cm nv nv nv mark
men de beri sirdan be šajila fi ainu unca rakū ,	pn cm nv nv cm verb e nv verb e mark
lung_king ni te he aniya jakūn biya i orin ilan de baha ha ,	nn cm verb e nv nv nv cm nv nv cm verb e mark
jaisai be jafa ha manggi ,	nn cm verb e nv mark
men i šajin i gama mbi kai .	pn cm nv cm verb e ptcl mark
bisi re akū be saikan baica ∅ ,	verb e nv cm nv verb e mark
boigon g'ai_jeo de bi ci ,	nv nn cm verb e mark
jai min i gisun be daha mbi o ,	nv pn cm nv cm verb e ptcl mark
jeku akū niyalma i ton de dosimbu ∅ ,	nv nv nv cm nv cm verb e mark
abka de saišabu me ,	nv cm verb e mark
jori ha jurgan be jurce rakū seme beiguwan obu ha .	verb e nv cm verb e comp nv verb e mark
gisun hese i ucuri ,	nv nv cm nv mark
○ ice uyun de ,	mark nv nv cm mark
jakūn gūsa i beile se amban sa jakūn ba de te fi ,	nv nv cm nv nv nv nv nv nv cm verb e mark
bayartu ,	nn mark
beile se amban sa i doro ai de efuje mbi ,	nv nv nv nv cm nv nv cm verb e mark
ta_šan_tun i wang_sio_i ,	nn cm nn mark
efen ,	nv mark
emu ihan i yali benji he .	nv nv cm nv verb e mark
laba bileri fulgiye me tungken can tū me dule me gene fi ,	nv nv verb e nv nv verb e verb e verb e mark
bada ,	nv mark
ulin jeku aika tetun be gai ki seme juwe ilan minggan niyalma ,	nv nv nv nv cm verb e comp nv nv nv nv mark
kanggūri ,	nn mark
ehe sain be dere bani rakū ,	nv nv cm nv verb e mark
dulga hecen de dosi me jabdu ha ,	nv nv cm verb e verb e mark
jui hūnta de uju jergi fujiyang ni hergen bu he .	nv nv cm nv nv nv cm nv verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
gurun i banji re doro de tusa ara ra tondo sain niyalma o ci ,	nv cm verb e nv cm nv verb e nv nv nv verb e mark
yangguri be dain de baturu ,	nn cm nv cm nv mark
ainci bagadarhan heture fi wa ha aise seme hendu re be ,	nv nn verb e verb e nv comp verb e cm mark
○ manggūltai_beile ,	mark nn mark
nikan uksin nadan ,	nv nv nv mark
tede koro fi ,	nv verb e mark
jušen i amban sa be yohinda rakū ,	nv cm nv nv cm verb e mark
gūsin mocin ,	nv nv mark
tere ci geli cooha be dasa me dasa fi afa me gene re de ,	nv cm nv nv cm verb e verb e verb e verb e cm mark
cargi ci komsokon cooha sabu ci ,	nv cm nv nv verb e mark
suwe inu derakū ,	pn nv nv mark
šajin doro be efule re hutu be geli gosi ci o mbi o .	nv nv cm verb e nv cm nv verb e verb e ptcl mark
jeku juwe re sejen be juwe gūsa i emu iogi daha mbihe ,	nv verb e nv cm nv nv cm nv nv verb e mark
damtun benji he juse be gemu amasi gama ha ,	nv verb e nv cm nv nv verb e mark
han de darhan_hiya i wesimbu he bithe ,	nv cm nn cm verb e nv mark
liyoha bira de ambula wa ha ,	nn nv cm nv verb e mark
ehe be ehe seme han de ala mbi ,	nv cm nv comp nv cm verb e mark
beiguwan i hergen sunja tanggū nikan bu hebi ,	nv cm nv nv nv nv verb e mark
geren beile se i gashū ha kooli gashūbu ha .	nv nv nv cm verb e nv verb e mark
muse de bu rakū bi ci ,	pn cm verb e verb e mark
ilaci jergi tsanjiyang obu ha ,	nv nv nv verb e mark
kemir_ho_wei i du_jy_hūi_ši belektei i jui asidi ,	nn cm nv nn cm nv nn mark
ere ilan de sunjata yan i weile waliya mbi ,	nv nv cm nv nv cm nv verb e mark
min i kadala ra emu gala i cooha be han i fafun i tondo i kadala mbi ,	pn cm verb e nv nv cm nv cm nv cm nv cm nv cm verb e mark
na de dosi ci jurun akū seme šeri me ainu habša ha seme ,	nv cm verb e nv nv comp verb e nv verb e comp mark
sin de sain gisun akū ūn ,	pn cm nv nv nv ptcl mark
○ beri faksi šose ,	mark nv nv nn mark
han i jabu ha bithe be monggoli fi gūni me bi ∅ seme monggolibu ha .	nv cm verb e nv cm verb e verb e verb e comp verb e mark
han de hūturi akū o ci ,	nv cm nv nv verb e mark
ši_cing_liyang ,	nn mark
han monggo ci ji he beile se de bithe bu me tacibu ha gisun ,	nv nv cm verb e nv nv cm nv verb e verb e nv mark
juwan de wasimbu ha ,	nv cm verb e mark
namdulu_golo i amban bi he ,	nn cm nv verb e mark
doro be kice me dasa mbi ,	nv cm verb e verb e mark
boo manabu ha ,	nv verb e mark
beye buce mbi ,	nv verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
tere niyalma i gebu ging_tiyan_yan ,	nv nv cm nv nn mark
tari ha kubun jeku baha ra onggolo ume habša ra ,	verb e nv nv verb e nv nv verb e mark
te he ba ci ili fi ,	verb e nv cm verb e mark
gebu manggūs .	nv nn mark
○ io_tun_wei de bisi re bele i ton ,	mark nn cm verb e nv cm nv mark
amba doro be gūni me daha ha ngge ,	nv nv cm verb e verb e nmlz mark
moobari niru i hūsi ,	nn nv cm nn mark
ninju ninggun boo ,	nv nv nv mark
amba_beile sunja ba i dube de ihan wa fi sarin sarila fi fude fi unggi he .	nn nv nv cm nv cm nv verb e nv verb e verb e verb e mark
han i bithe ,	nv cm nv mark
samjan de te he yafahan ,	nn cm verb e nv mark
min i dolo da ci ehe ara ki seme gūni ha bi ci ,	pn cm nv nv cm nv verb e comp verb e verb e mark
giya_jing ni dehi juwe ci aniya ninggun biya i juwan duin de baha ha ,	nn cm nv verb e nv nv nv cm nv nv cm verb e mark
honin ilan tanggū ,	nv nv nv mark
juleri dosi ka niyalma be nikan dehele me tuhebu ci ,	nv verb e nv cm nv verb e verb e mark
hecen waji ha manggi ,	nv verb e nv mark
ice jeku be suwen de bu rakū ,	nv nv cm pn cm verb e mark
asidarhan be doro i jurgan de afabu habi ,	nn cm nv cm nv cm verb e mark
ginjeo de tebu ∅ ,	nn cm verb e mark
beye buce kini ,	nv verb e mark
gecuheri buri ha seke haya ha jibca juwan ,	nv verb e nv verb e nv nv mark
han i toktobu ha šajin be jurce me ,	nv cm verb e nv cm verb e mark
han i fafun i tondo i kadala mbi ,	nv cm nv cm nv cm verb e mark
isun i jaka de isina ha seme ,	nn cm nv cm verb e comp mark
jontai gene fi ,	nn verb e mark
yeodehe ,	nn mark
wan_lii i nadaci aniya ninggun biya i juwan juwe de baha ha ,	nn cm nv nv nv nv cm nv nv cm verb e mark
jori ha jurgan be jurce rakū seme beiguwan obu ha ,	verb e nv cm verb e comp nv verb e mark
aisin juwan yan ,	nv nv nv mark
duka i niyalma de weile ,	nv cm nv cm nv mark
abka saiša fi ,	nv verb e mark
mama ,	nv mark
ši hūwang ,	nv nv mark
baihū ,	nn mark
gung heo hergen bu fi ,	nv nv nv verb e mark
te bi cibe ,	nv verb e mark
emu biya emu aniya ojo ro onggolo ,	nv nv nv nv verb e nv mark
ihan mada ra ,	nv verb e mark
emu jergi buce re weile be guwebu mbi .	nv nv verb e nv cm verb e mark
jui mutu habi kai ,	nv verb e ptcl mark
siowan_i_yuwan ,	nn mark
yoo_jeo de ,	nn cm mark
niyaman hūncihin seme ehe be tukiye me o ci ,	nv nv comp nv cm verb e verb e mark
ere ji he hioi_šeobei dehi niyalma de bu mbi .	nv verb e nn nv nv cm verb e mark
yecen_gufu i jui sibe de šangna ra ba de ama i tsanjiyang ni hergen de baha kini ,	nn cm nv nv cm verb e nv cm nv cm nv cm nv cm verb e mark
ere gisun be jurce ci ,	nv nv cm verb e mark
šajin i niyalma gai ha .	nv cm nv verb e mark
nikan gurun ,	nv nv mark
○ min i tukiye he amban sa gung ni akūmbu fi dain de buce cibe ,	mark pn cm verb e nv nv nv cm verb e nv cm verb e mark
kūniyakta ,	nn mark
si inu nikan han i niyalma o fi hendu rakū dere ,	pn nv nv nv cm nv verb e verb e ptcl mark
cilin ci casi dung ci ebsi ,	nv cm nv nv cm nv mark
huniolan ,	nn mark
sahaliyan lamun siren goci ka ,	nv nv nv verb e mark
tsoo_io ,	nn mark
fe jeku geli bi ,	nv nv nv verb mark
dergi abka sa kini ,	nv nv verb e mark
suwe men i jušen i nungne re de gele me ,	pn pn cm nv cm verb e cm verb e mark
julge aisin han ,	nv nv nv mark
niyaman hūncihin seme harša rakū ,	nv nv comp verb e mark
du_tang dobihi dakūla i jibca de juwan yan menggun salibu fi ,	nv nv nv cm nv cm nv nv nv verb e mark
ula de emu feye baha ha ,	nv cm nv nv verb e mark
han'_tsanjiyang ni yafan i tokso i boo de miyoo ara fi sinda ha manggi ,	nn cm nv cm nv cm nv cm nv verb e verb e nv mark
wargi nahan i fejile falan de jafu sekte fi te he ,	nv nv cm nv nv cm nv verb e verb e mark
monggo i ergi de beile se i gene he songko de karun gene he .	nv cm nv cm nv nv cm verb e nv cm nv verb e mark
omoho_suru ,	nn mark
beye buce kini ,	nv verb e mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
gercile me alanji ∅ .	verb e verb e mark
ainu wa mbi ,	nv verb e mark
cimari erde šun alin ci tuci fi ,	nv nv nv nv cm verb e mark
amba_beile ice ilan inenggi ,	nn nv nv nv mark
○ handu be ,	mark nn cm mark
afabu ha weile be mute mbi ,	verb e nv cm verb e mark
duli re dobori sucu re cimari abka ka bi he bi ci ,	verb e nv verb e nv verb e verb e verb e mark
gemu dahabu fi uju fusi habi ,	nv verb e nv verb e mark
monggo_taiji gaji ha ulha i ton ,	nn verb e nv cm nv mark
ice duin de wasimbu ha ,	nv nv cm verb e mark
gu_šan be jase obu ∅ ,	nn cm nv verb e mark
lang_iogi de ji he giyansi be gercile me ala ha seme wesibu fi iogi obu ha .	nn cm verb e nv cm verb e verb e comp verb e nv verb e mark
hecen be dule fi cooha i ergi de okdo me gene fi aliya ci ,	nv cm verb e nv cm nv cm verb e verb e verb e mark
du_jy_hūi_tungjy kuliosan i jui ageni ,	nv nn cm nv nn mark
dube i beidesi de sunjata yan i weile ara ha ,	nv cm nv cm nv nv cm nv verb e mark
emte yan menggun gai ∅ .	nv nv nv verb e mark
han i bu re šang ,	nv cm verb e nv mark
soohai ,	nn mark
saikan kimci me bai me wa fi ,	nv verb e verb e verb e mark
juwan niyalma ,	nv nv mark
ede emte gecuheri ,	nv nv nv mark
men de gaji ∅ ,	pn cm verb e mark
tere turgun de ,	nv nv cm mark
wa ci ainu ji mbi ,	verb e nv verb e mark
emu niru i jušen ,	nv nv cm nv mark
si min i jui be gai mbi seme gisure fi ,	pn pn cm nv cm verb e comp verb e mark
bulakan be ,	nn cm mark
sarhū i ba de ili ha cooha be gida fi ,	nv cm nv cm verb e nv cm verb e mark
muse i jalin de faxša rakū ,	nv cm nv cm verb e mark
nakcu hendu me ,	nv verb e mark
lingse ,	nv mark
sin i kiru asha ha adu gebungge niyalma gene fi ili ∅ se ci ili habi dere seme hendu he manggi ,	pn cm nv verb e nn nv nv verb e verb e verb e verb e ptcl comp verb e nv mark
dehi funce me hecen be gai fi ubaša ci ,	nv verb e nv cm verb e verb e mark
tiyei_ling ni hecen i duin jugūn i arbun i dulimba i leose de tafambu fi tebu he ,	nn cm nv cm nv nv cm nv cm nv cm nv cm verb e verb e mark
usin weile re erin de ume fete re ,	nv verb e nv cm nv verb e mark
tondo i beye banda rakū kice me kadala ki .	nv cm nv verb e verb e verb e mark
○ jekduri ,	mark nn mark
edun de hendu fi ,	nv cm verb e mark
juwe guwejihe nimenggi ,	nv nv nv mark
gung bai me han de bithe alibu ha manggi ,	nv verb e nv cm nv verb e nv mark
i_mu_ho_wei i du_jy_hūi_tungjy daijuha i jui baindari ,	nn cm nv nn cm nv nn mark
gurun sere kini ,	nv verb e mark
